Gcolumna_560	c96196_g1_i1
Gcolumna_561	c95747_g1_i1
Gcolumna_562	c95747_g1_i2
Gcolumna_563	c96714_g1_i1
Gcolumna_564	c96714_g1_i2
Gcolumna_565	c96644_g1_i2
Gcolumna_566	c96644_g1_i3
Gcolumna_567	c96070_g1_i2
Gcolumna_568	c96257_g1_i1
Gcolumna_569	c95944_g1_i1
Gcolumna_570	c96579_g1_i1
Gcolumna_571	c96579_g2_i1
Gcolumna_572	c96579_g2_i2
Gcolumna_573	c95911_g2_i1
Gcolumna_574	c95911_g2_i2
Gcolumna_575	c96316_g1_i1
Gcolumna_576	c96316_g1_i2
Gcolumna_577	c96150_g1_i1
Gcolumna_578	c96150_g1_i2
Gcolumna_579	c96250_g1_i1
Gcolumna_580	c96250_g1_i2
Gcolumna_581	c96546_g1_i1
Gcolumna_582	c96546_g1_i2
Gcolumna_583	c96546_g1_i3
Gcolumna_584	c96301_g1_i1
Gcolumna_585	c96572_g1_i1
Gcolumna_586	c96572_g1_i2
Gcolumna_587	c95805_g1_i1
Gcolumna_588	c95805_g2_i1
Gcolumna_589	c95805_g3_i1
Gcolumna_590	c95978_g1_i1
Gcolumna_591	c95978_g2_i1
Gcolumna_592	c96435_g1_i1
Gcolumna_593	c96086_g1_i1
Gcolumna_594	c95915_g1_i3
Gcolumna_595	c96026_g1_i1
Gcolumna_596	c96026_g1_i2
Gcolumna_597	c96429_g1_i1
Gcolumna_598	c95760_g1_i1
Gcolumna_599	c95902_g1_i1
Gcolumna_600	c95902_g1_i2
Gcolumna_601	c96233_g1_i1
Gcolumna_602	c96233_g1_i2
Gcolumna_603	c96233_g1_i3
Gcolumna_604	c96320_g2_i1
Gcolumna_605	c96488_g1_i1
Gcolumna_606	c96488_g2_i1
Gcolumna_607	c96488_g2_i2
Gcolumna_608	c96237_g2_i1
Gcolumna_609	c95874_g3_i1
Gcolumna_610	c96242_g1_i1
Gcolumna_611	c96242_g1_i2
Gcolumna_612	c96242_g1_i3
Gcolumna_613	c95849_g1_i1
Gcolumna_614	c95849_g1_i2
Gcolumna_615	c95868_g1_i1
Gcolumna_616	c95868_g1_i2
Gcolumna_617	c95868_g1_i3
Gcolumna_618	c95780_g1_i1
Gcolumna_619	c96117_g1_i1
Gcolumna_620	c95954_g1_i1
Gcolumna_621	c96684_g1_i1
Gcolumna_622	c96667_g1_i1
Gcolumna_623	c96667_g1_i2
Gcolumna_624	c96667_g1_i3
Gcolumna_625	c96412_g1_i1
Gcolumna_626	c96412_g1_i2
Gcolumna_627	c96412_g1_i4
Gcolumna_628	c96412_g1_i5
Gcolumna_629	c96412_g1_i6
Gcolumna_630	c96292_g2_i1
Gcolumna_631	c96292_g2_i2
Gcolumna_632	c95979_g1_i1
Gcolumna_633	c95979_g1_i2
Gcolumna_634	c96187_g1_i1
Gcolumna_635	c96398_g1_i1
Gcolumna_636	c96398_g1_i2
Gcolumna_637	c95992_g1_i1
Gcolumna_638	c95992_g1_i2
Gcolumna_639	c95992_g1_i4
Gcolumna_640	c95992_g1_i5
Gcolumna_641	c95992_g1_i6
Gcolumna_642	c95992_g1_i7
Gcolumna_643	c95992_g1_i8
Gcolumna_644	c96422_g1_i1
Gcolumna_645	c96399_g1_i1
Gcolumna_646	c96399_g2_i1
Gcolumna_647	c96399_g3_i1
Gcolumna_648	c96399_g4_i1
Gcolumna_649	c96225_g1_i1
Gcolumna_650	c96225_g1_i2
Gcolumna_651	c96225_g1_i3
Gcolumna_652	c96225_g1_i4
Gcolumna_653	c96225_g1_i5
Gcolumna_654	c96335_g1_i2
Gcolumna_655	c96337_g1_i1
Gcolumna_656	c96337_g1_i2
Gcolumna_657	c96560_g1_i1
Gcolumna_658	c96560_g1_i2
Gcolumna_659	c96560_g1_i3
Gcolumna_660	c96560_g1_i4
Gcolumna_661	c96560_g1_i5
Gcolumna_662	c95925_g2_i1
Gcolumna_663	c95793_g1_i2
Gcolumna_664	c96366_g1_i1
Gcolumna_665	c96366_g1_i3
Gcolumna_666	c96366_g1_i4
Gcolumna_667	c96366_g1_i5
Gcolumna_668	c96366_g1_i6
Gcolumna_669	c96326_g1_i1
Gcolumna_670	c96326_g1_i2
Gcolumna_671	c96326_g1_i3
Gcolumna_672	c96326_g1_i7
Gcolumna_673	c96326_g1_i8
Gcolumna_674	c96326_g1_i9
Gcolumna_675	c96326_g1_i10
Gcolumna_676	c96309_g1_i1
Gcolumna_677	c96463_g1_i1
Gcolumna_678	c96463_g1_i2
Gcolumna_679	c96035_g1_i1
Gcolumna_680	c96155_g1_i1
Gcolumna_681	c96347_g1_i1
Gcolumna_682	c96347_g1_i2
Gcolumna_683	c96138_g1_i1
Gcolumna_684	c96138_g1_i2
Gcolumna_685	c96262_g1_i1
Gcolumna_686	c96262_g2_i1
Gcolumna_687	c96577_g1_i2
Gcolumna_688	c96577_g1_i3
Gcolumna_689	c96577_g1_i4
Gcolumna_690	c96577_g1_i5
Gcolumna_691	c96492_g1_i1
Gcolumna_692	c96492_g1_i2
Gcolumna_693	c96492_g1_i3
Gcolumna_694	c96662_g1_i1
Gcolumna_695	c96662_g2_i2
Gcolumna_696	c95912_g1_i1
Gcolumna_697	c95900_g1_i1
Gcolumna_698	c95900_g2_i1
Gcolumna_699	c96013_g1_i1
Gcolumna_700	c96013_g1_i2
Gcolumna_701	c96474_g1_i1
Gcolumna_702	c96474_g1_i2
Gcolumna_703	c96394_g1_i1
Gcolumna_704	c96394_g1_i5
Gcolumna_705	c96202_g1_i1
Gcolumna_706	c96202_g2_i1
Gcolumna_707	c96202_g2_i5
Gcolumna_708	c96202_g2_i6
Gcolumna_709	c96651_g1_i1
Gcolumna_710	c96651_g1_i2
Gcolumna_711	c95923_g1_i1
Gcolumna_712	c95889_g1_i1
Gcolumna_713	c95889_g1_i2
Gcolumna_714	c96389_g3_i1
Gcolumna_715	c96377_g1_i1
Gcolumna_716	c96377_g1_i2
Gcolumna_717	c96377_g1_i3
Gcolumna_718	c95844_g2_i1
Gcolumna_719	c95844_g2_i2
Gcolumna_720	c96632_g3_i1
Gcolumna_721	c96632_g3_i2
Gcolumna_722	c96632_g5_i1
Gcolumna_723	c96632_g5_i2
Gcolumna_724	c96632_g3_i3
Gcolumna_725	c95829_g1_i1
Gcolumna_726	c95829_g1_i3
Gcolumna_727	c95829_g2_i1
Gcolumna_728	c95829_g2_i2
Gcolumna_729	c96689_g1_i2
Gcolumna_730	c96689_g2_i1
Gcolumna_731	c96437_g1_i1
Gcolumna_732	c96437_g1_i2
Gcolumna_733	c96437_g1_i3
Gcolumna_734	c96083_g1_i1
Gcolumna_735	c96083_g1_i2
Gcolumna_736	c96083_g1_i3
