Spistillat_318	Spi_isotig00303
Spistillat_319	Spi_isotig00304
Spistillat_320	Spi_isotig00305
Spistillat_321	Spi_isotig00306
Spistillat_322	Spi_isotig00307
Spistillat_323	Spi_isotig00308
Spistillat_324	Spi_isotig00309
Spistillat_325	Spi_isotig00310
Spistillat_326	Spi_isotig00311
Spistillat_327	Spi_isotig00312
Spistillat_328	Spi_isotig00313
Spistillat_329	Spi_isotig00314
Spistillat_330	Spi_isotig00315
Spistillat_331	Spi_isotig00316
Spistillat_332	Spi_isotig00317
Spistillat_333	Spi_isotig00318
Spistillat_334	Spi_isotig00319
Spistillat_335	Spi_isotig00320
Spistillat_336	Spi_isotig00321
Spistillat_337	Spi_isotig00322
Spistillat_338	Spi_isotig00323
Spistillat_339	Spi_isotig00324
Spistillat_340	Spi_isotig00325
Spistillat_341	Spi_isotig00326
Spistillat_342	Spi_isotig00327
Spistillat_343	Spi_isotig00328
Spistillat_344	Spi_isotig00329
Spistillat_345	Spi_isotig00330
Spistillat_346	Spi_isotig00331
Spistillat_347	Spi_isotig00332
Spistillat_348	Spi_isotig00333
Spistillat_349	Spi_isotig00334
Spistillat_350	Spi_isotig00335
Spistillat_351	Spi_isotig00336
Spistillat_352	Spi_isotig00337
Spistillat_353	Spi_isotig00338
Spistillat_354	Spi_isotig00339
Spistillat_355	Spi_isotig00340
Spistillat_356	Spi_isotig00341
Spistillat_357	Spi_isotig00342
Spistillat_358	Spi_isotig00343
Spistillat_359	Spi_isotig00344
Spistillat_360	Spi_isotig00345
Spistillat_361	Spi_isotig00346
Spistillat_362	Spi_isotig00347
Spistillat_363	Spi_isotig00348
Spistillat_364	Spi_isotig00349
Spistillat_365	Spi_isotig00350
Spistillat_366	Spi_isotig00351
Spistillat_367	Spi_isotig00352
Spistillat_368	Spi_isotig00353
Spistillat_369	Spi_isotig00354
Spistillat_370	Spi_isotig00355
Spistillat_371	Spi_isotig00356
Spistillat_372	Spi_isotig00357
Spistillat_373	Spi_isotig00358
Spistillat_374	Spi_isotig00359
Spistillat_375	Spi_isotig00360
Spistillat_376	Spi_isotig00361
Spistillat_377	Spi_isotig00362
Spistillat_378	Spi_isotig00363
Spistillat_379	Spi_isotig00364
Spistillat_380	Spi_isotig00365
Spistillat_381	Spi_isotig00366
Spistillat_382	Spi_isotig00367
Spistillat_383	Spi_isotig00368
Spistillat_384	Spi_isotig00369
Spistillat_385	Spi_isotig00370
Spistillat_386	Spi_isotig00371
Spistillat_387	Spi_isotig00372
Spistillat_388	Spi_isotig00373
Spistillat_389	Spi_isotig00374
Spistillat_390	Spi_isotig00375
Spistillat_391	Spi_isotig00376
Spistillat_392	Spi_isotig00377
Spistillat_393	Spi_isotig00378
Spistillat_394	Spi_isotig00379
Spistillat_395	Spi_isotig00380
Spistillat_396	Spi_isotig00381
Spistillat_397	Spi_isotig00382
Spistillat_398	Spi_isotig00383
Spistillat_399	Spi_isotig00384
Spistillat_400	Spi_isotig00385
Spistillat_401	Spi_isotig00386
Spistillat_402	Spi_isotig00387
Spistillat_403	Spi_isotig00388
Spistillat_404	Spi_isotig00389
Spistillat_405	Spi_isotig00390
Spistillat_406	Spi_isotig00391
