Apalmata_350	CAFB1275_b2_c
Apalmata_351	CAFB1279_b2_c
Apalmata_352	CAFB1280_b2_c
Apalmata_353	CAFB1290_b2_c
Apalmata_354	CAFB1296_b2_c
Apalmata_355	CAFB1297_b2_c
Apalmata_356	CAFB1298_b2_c
Apalmata_357	CAFB1310_b2_c
Apalmata_358	CAFB1311_b2_c
Apalmata_359	CAFB1316_b2_c
Apalmata_360	CAFB1320_b2_c
Apalmata_361	CAFB1321_b2_c
Apalmata_362	CAFB1325_g2_c
Apalmata_363	CAFB1331_b2_c
Apalmata_364	CAFB1332_b2_c
Apalmata_365	CAFB1340_b2_c
Apalmata_366	CAFB1343_b2_c
Apalmata_367	CAFB1347_b2_c
Apalmata_368	CAFB1351_b2_c
Apalmata_369	CAFB1356_b2_c
Apalmata_370	CAFB1356_g2_c
Apalmata_371	CAFB1364_g2_c
Apalmata_372	CAFB1372_b2_c
Apalmata_373	CAFB1378_b2_c
Apalmata_374	CAFB1403_b2_c
Apalmata_375	CAFB1415_b2_c
Apalmata_376	CAFB1415_g2_c
Apalmata_377	CAFB1419_b2_c
Apalmata_378	CAFB1427_b2_c
Apalmata_379	CAFB1428_g2_c
Apalmata_380	CAFB1431_b2_c
Apalmata_381	CAFB1436_b2_c
Apalmata_382	CAFB1437_g2_c
Apalmata_383	CAFB1443_b2_c
Apalmata_384	CAFB1447_b2_c
Apalmata_385	CAFB1448_b2_c
Apalmata_386	CAFB1452_b2_c
Apalmata_387	CAFB1453_g2_c
Apalmata_388	CAFB1454_b2_c
Apalmata_389	CAFB1455_b2_c
Apalmata_390	CAFB1458_g2_c
Apalmata_391	CAFB1474_g2_c
Apalmata_392	CAFB1476_b2_c
Apalmata_393	CAFB1481_g2_c
Apalmata_394	CAFB1486_b2_c
Apalmata_395	CAFB1495_g2_c
Apalmata_396	CAFB1496_b2_c
Apalmata_397	CAFB1502_b2_c
Apalmata_398	CAFB1502_g2_c
Apalmata_399	CAFB1505_b2_c
Apalmata_400	CAFB1507_g2_c
Apalmata_401	CAFB1514_b2_c
Apalmata_402	CAFB1514_g2_c
Apalmata_403	CAFB1516_b2_c
Apalmata_404	CAFB1517_b2_c
Apalmata_405	CAFB1519_b2_c
Apalmata_406	CAFB1523_b2_c
Apalmata_407	CAFB1525_g2_c
Apalmata_408	CAFB1532_b2_c
Apalmata_409	CAFB1534_g2_c
Apalmata_410	CAFB1541_b2_c
Apalmata_411	CAFB1542_g2_c
Apalmata_412	CAFB1543_b2_c
Apalmata_413	CAFB1546_b2_c
Apalmata_414	CAFB1551_b2_c
Apalmata_415	CAFB1555_g2_c
Apalmata_416	CAFB1559_g2_c
Apalmata_417	CAFB1564_b2_c
Apalmata_418	CAFB1566_g2_c
