Pastreoide_544	GCKDGN101BPBN3
Pastreoide_545	GCKDGN101BBMRZ
Pastreoide_546	GCKDGN101BU721
Pastreoide_547	GCKDGN101BZJ3Q
Pastreoide_548	GCKDGN101B9PYY
Pastreoide_549	GCKDGN101AMQAV
Pastreoide_550	GCKDGN101BF1YF
Pastreoide_551	GCKDGN101BN5T9
Pastreoide_552	GCKDGN101A7QZ5
Pastreoide_553	GCKDGN101BDNLQ
Pastreoide_554	GCKDGN101A73PT
Pastreoide_555	GCKDGN102C9GE7
Pastreoide_556	GCKDGN102D4BVL
Pastreoide_557	GCKDGN101BQS1Q
Pastreoide_558	GCKDGN101CBY72
Pastreoide_559	GCKDGN101BHQL9
Pastreoide_560	GCKDGN102D2VO2
Pastreoide_561	GCKDGN101APXK8
Pastreoide_562	GCKDGN101BTTJ1
Pastreoide_563	GCKDGN101BL34G
Pastreoide_564	GCKDGN101AQFEL
Pastreoide_565	GCKDGN101CFM5P
Pastreoide_566	GCKDGN101BUK0R
Pastreoide_567	GCKDGN101A54XY
Pastreoide_568	GCKDGN101A2QVI
Pastreoide_569	GCKDGN101AYKWX
Pastreoide_570	GCKDGN102C3CSH
Pastreoide_571	GCKDGN102D4BN3
Pastreoide_572	GCKDGN101B061K
Pastreoide_573	GCKDGN101BUPKL
Pastreoide_574	GCKDGN101BLZ7M
Pastreoide_575	GCKDGN102C7DTP
Pastreoide_576	GCKDGN101BU8QA
Pastreoide_577	GCKDGN101ALV58
Pastreoide_578	GCKDGN101CB582
Pastreoide_579	GCKDGN102D0MHS
Pastreoide_580	GCKDGN101AL8OP
Pastreoide_581	GCKDGN101B4OCE
Pastreoide_582	GCKDGN101CG28T
Pastreoide_583	GCKDGN101ARSMK
Pastreoide_584	GCKDGN101BS95E
Pastreoide_585	GCKDGN101BM0N1
Pastreoide_586	GCKDGN101BO6CU
Pastreoide_587	GCKDGN101AX7N4
Pastreoide_588	GCKDGN101BDK9Y
Pastreoide_589	GCKDGN101BIE31
Pastreoide_590	GCKDGN101B6X1M
Pastreoide_591	GCKDGN101B1QZ2
Pastreoide_592	GCKDGN101A6I2B
Pastreoide_593	GCKDGN101CHIGD
Pastreoide_594	GCKDGN101CADX5
Pastreoide_595	GCKDGN101B71G9
Pastreoide_596	GCKDGN101AMTK5
Pastreoide_597	GCKDGN101AOARO
Pastreoide_598	GCKDGN101BO0CL
Pastreoide_599	GCKDGN101B227K
Pastreoide_600	GCKDGN101B8XCO
Pastreoide_601	GCKDGN101AU0IF
Pastreoide_602	GCKDGN101A9ZLP
Pastreoide_603	GCKDGN101BZPLI
Pastreoide_604	GCKDGN101CAQLS
Pastreoide_605	GCKDGN101BGB9M
Pastreoide_606	GCKDGN102D1194
Pastreoide_607	GCKDGN101BIR4U
Pastreoide_608	GCKDGN101A8BCS
Pastreoide_609	GCKDGN101BRYB4
Pastreoide_610	GCKDGN101ASSPW
Pastreoide_611	GCKDGN101B6HPZ
Pastreoide_612	GCKDGN101CC9W7
Pastreoide_613	GCKDGN101BRX28
Pastreoide_614	GCKDGN101BH0JR
Pastreoide_615	GCKDGN101ALOAS
Pastreoide_616	GCKDGN102C8F5T
Pastreoide_617	GCKDGN101A7KKC
Pastreoide_618	GCKDGN101A8TY4
Pastreoide_619	GCKDGN101ARK2X
Pastreoide_620	GCKDGN101BDC2M
Pastreoide_621	GCKDGN101CCRYD
Pastreoide_622	GCKDGN101CAWIH
Pastreoide_623	GCKDGN102C4SLC
Pastreoide_624	GCKDGN102C9J56
Pastreoide_625	GCKDGN101BTZ6U
Pastreoide_626	GCKDGN101BH5E9
Pastreoide_627	GCKDGN101AWN0G
Pastreoide_628	GCKDGN101ARC0P
Pastreoide_629	GCKDGN101AR4XA
Pastreoide_630	GCKDGN102D0EYP
Pastreoide_631	GCKDGN101BKRQH
Pastreoide_632	GCKDGN101CIUMJ
Pastreoide_633	GCKDGN101BDG1F
Pastreoide_634	GCKDGN102D2RZ6
Pastreoide_635	GCKDGN101BW87K
Pastreoide_636	GCKDGN101BAB9S
Pastreoide_637	GCKDGN102D1AJQ
Pastreoide_638	GCKDGN101B6KKX
Pastreoide_639	GCKDGN101AOQV2
