Amillepora_961	c013894
Amillepora_962	c013892
Amillepora_963	c013890
Amillepora_964	c013899
Amillepora_965	c030980
Amillepora_966	c019999
Amillepora_967	c002892
Amillepora_968	c002894
Amillepora_969	c002896
Amillepora_970	c002898
Amillepora_971	c052218
Amillepora_972	c000889
Amillepora_973	c052213
Amillepora_974	c052211
Amillepora_975	c052217
Amillepora_976	c052215
Amillepora_977	c008329
Amillepora_978	c008325
Amillepora_979	c008327
Amillepora_980	c008321
Amillepora_981	c008323
Amillepora_982	c019992
Amillepora_983	c048695
Amillepora_984	c048697
Amillepora_985	c048691
Amillepora_986	c048692
Amillepora_987	c048699
Amillepora_988	c010678p
Amillepora_989	c018516
Amillepora_990	c018514
Amillepora_991	c018512
Amillepora_992	c018510
Amillepora_993	c018519
Amillepora_994	c003646p
Amillepora_995	c010558
Amillepora_996	c048560
Amillepora_997	c048566
Amillepora_998	c048564
Amillepora_999	c003646m
Amillepora_1000	c048568
Amillepora_1001	c040751
Amillepora_1002	c040753
Amillepora_1003	c004550
Amillepora_1004	c004555
Amillepora_1005	c028065
Amillepora_1006	c028066
Amillepora_1007	c028067
Amillepora_1008	c028060
Amillepora_1009	c000197
Amillepora_1010	c031710
Amillepora_1011	c028062
Amillepora_1012	c025175
Amillepora_1013	c032975
Amillepora_1014	c032977
Amillepora_1015	c032971
Amillepora_1016	c022772
Amillepora_1017	c000459
Amillepora_1018	c032978
Amillepora_1019	c031715
Amillepora_1020	c031716
Amillepora_1021	c047641
Amillepora_1022	c036277
Amillepora_1023	c036275
Amillepora_1024	c036273
Amillepora_1025	c000760p
Amillepora_1026	c036278
Amillepora_1027	c030533
Amillepora_1028	c030531
Amillepora_1029	c030537
Amillepora_1030	c030535
Amillepora_1031	c030538
Amillepora_1032	c000192
Amillepora_1033	c005208
Amillepora_1034	c041008
Amillepora_1035	c041006
Amillepora_1036	c041004
Amillepora_1037	c041001
Amillepora_1038	c009982
Amillepora_1039	c009980
Amillepora_1040	c009986
Amillepora_1041	c009984
Amillepora_1042	c009988
Amillepora_1043	c029105
Amillepora_1044	c024486
Amillepora_1045	c024484
Amillepora_1046	c024482
Amillepora_1047	c024480
Amillepora_1048	c024488
Amillepora_1049	c006658
Amillepora_1050	c001049m
Amillepora_1051	c020789
Amillepora_1052	c025288
Amillepora_1053	c025283
Amillepora_1054	c025281
Amillepora_1055	c025287
Amillepora_1056	c025285
Amillepora_1057	c034300
Amillepora_1058	c043575
Amillepora_1059	c034305
Amillepora_1060	c034307
Amillepora_1061	c034309
Amillepora_1062	c047190
Amillepora_1063	c013316
Amillepora_1064	c043577
Amillepora_1065	c026889
Amillepora_1066	c026885
Amillepora_1067	c026887
Amillepora_1068	c026881
Amillepora_1069	c026883
Amillepora_1070	c024779
Amillepora_1071	c024776
Amillepora_1072	c043576
Amillepora_1073	c024772
Amillepora_1074	c022439
Amillepora_1075	c043904
Amillepora_1076	c025428
Amillepora_1077	c025426
Amillepora_1078	c025424
Amillepora_1079	c025422
Amillepora_1080	c004563p
Amillepora_1081	c003747m
Amillepora_1082	c043907
Amillepora_1083	c043901
Amillepora_1084	c043902
Amillepora_1085	c026731
Amillepora_1086	c026737
Amillepora_1087	c026735
Amillepora_1088	c006764p
Amillepora_1089	c001369p
Amillepora_1090	c033169
Amillepora_1091	c033161
Amillepora_1092	c010254m
Amillepora_1093	c033165
Amillepora_1094	c033167
Amillepora_1095	c048978
Amillepora_1096	c020278
Amillepora_1097	c048970
Amillepora_1098	c048972
Amillepora_1099	c048974
Amillepora_1100	c048976
Amillepora_1101	c049883
Amillepora_1102	c023349
Amillepora_1103	c023341
Amillepora_1104	c023343
Amillepora_1105	c023345
Amillepora_1106	c023347
Amillepora_1107	c010273
Amillepora_1108	c051478
Amillepora_1109	c010275
Amillepora_1110	c051472
Amillepora_1111	c051470
Amillepora_1112	c051476
Amillepora_1113	c051474
Amillepora_1114	c001309p
Amillepora_1115	c053831
Amillepora_1116	c053833
Amillepora_1117	c053835
Amillepora_1118	c053837
Amillepora_1119	c053839
Amillepora_1120	c050629
Amillepora_1121	c029100
Amillepora_1122	c050625
Amillepora_1123	c032210
Amillepora_1124	c050624
Amillepora_1125	c032214
Amillepora_1126	c032216
Amillepora_1127	c050627
Amillepora_1128	c004757
Amillepora_1129	c009397
Amillepora_1130	c015003
Amillepora_1131	c009392
Amillepora_1132	c009390
Amillepora_1133	c020645
Amillepora_1134	c020647
Amillepora_1135	c020641
Amillepora_1136	c020643
Amillepora_1137	c015006
Amillepora_1138	c050622
Amillepora_1139	c046503
Amillepora_1140	c003357p
Amillepora_1141	c047629
Amillepora_1142	c004615
Amillepora_1143	c047628
Amillepora_1144	c003357m
Amillepora_1145	c004613
Amillepora_1146	c050927
Amillepora_1147	c004618
