Ofaveolata_471	comp3096_c0_seq1
Ofaveolata_472	comp3129_c0_seq1
Ofaveolata_473	comp3156_c0_seq1
Ofaveolata_474	comp3168_c0_seq1
Ofaveolata_475	comp3172_c0_seq1
Ofaveolata_476	comp3175_c0_seq1
Ofaveolata_477	comp3177_c0_seq1
Ofaveolata_478	comp3178_c0_seq1
Ofaveolata_479	comp3179_c0_seq1
Ofaveolata_480	comp3180_c0_seq1
Ofaveolata_481	comp3184_c0_seq1
Ofaveolata_482	comp3194_c0_seq1
Ofaveolata_483	comp3205_c0_seq1
Ofaveolata_484	comp3211_c0_seq1
Ofaveolata_485	comp3218_c0_seq1
Ofaveolata_486	comp3223_c0_seq1
Ofaveolata_487	comp3227_c0_seq1
Ofaveolata_488	comp3230_c0_seq1
Ofaveolata_489	comp3254_c0_seq1
Ofaveolata_490	comp3258_c0_seq1
Ofaveolata_491	comp3261_c0_seq1
Ofaveolata_492	comp3262_c0_seq1
Ofaveolata_493	comp3267_c0_seq1
Ofaveolata_494	comp3268_c0_seq1
Ofaveolata_495	comp3268_c0_seq2
Ofaveolata_496	comp3270_c0_seq1
Ofaveolata_497	comp3276_c0_seq1
Ofaveolata_498	comp3277_c0_seq1
Ofaveolata_499	comp3287_c0_seq1
Ofaveolata_500	comp3296_c0_seq1
Ofaveolata_501	comp3327_c0_seq1
Ofaveolata_502	comp3353_c0_seq1
Ofaveolata_503	comp3355_c0_seq1
Ofaveolata_504	comp3363_c0_seq1
Ofaveolata_505	comp3375_c0_seq1
Ofaveolata_506	comp3376_c0_seq1
Ofaveolata_507	comp3386_c0_seq1
Ofaveolata_508	comp3397_c0_seq1
Ofaveolata_509	comp3400_c0_seq1
Ofaveolata_510	comp3403_c0_seq1
Ofaveolata_511	comp3426_c0_seq1
Ofaveolata_512	comp3431_c0_seq1
Ofaveolata_513	comp3431_c0_seq2
Ofaveolata_514	comp3439_c0_seq1
Ofaveolata_515	comp3449_c0_seq1
Ofaveolata_516	comp3458_c0_seq1
Ofaveolata_517	comp3459_c0_seq1
Ofaveolata_518	comp3460_c0_seq1
Ofaveolata_519	comp3463_c0_seq1
Ofaveolata_520	comp3465_c0_seq1
Ofaveolata_521	comp3468_c0_seq1
Ofaveolata_522	comp3470_c0_seq1
Ofaveolata_523	comp3479_c0_seq1
Ofaveolata_524	comp3490_c0_seq1
Ofaveolata_525	comp3496_c0_seq1
Ofaveolata_526	comp3496_c0_seq2
Ofaveolata_527	comp3514_c0_seq1
Ofaveolata_528	comp3515_c0_seq1
Ofaveolata_529	comp3520_c0_seq1
Ofaveolata_530	comp3542_c0_seq1
Ofaveolata_531	comp3547_c0_seq1
Ofaveolata_532	comp3548_c0_seq1
Ofaveolata_533	comp3548_c0_seq2
Ofaveolata_534	comp3553_c0_seq1
Ofaveolata_535	comp3557_c0_seq1
Ofaveolata_536	comp3560_c0_seq1
Ofaveolata_537	comp3563_c0_seq1
Ofaveolata_538	comp3565_c0_seq1
Ofaveolata_539	comp3566_c0_seq1
Ofaveolata_540	comp3578_c0_seq1
Ofaveolata_541	comp3583_c0_seq1
Ofaveolata_542	comp3594_c0_seq1
Ofaveolata_543	comp3617_c0_seq1
Ofaveolata_544	comp3620_c0_seq1
Ofaveolata_545	comp3624_c0_seq1
Ofaveolata_546	comp3631_c0_seq1
Ofaveolata_547	comp3648_c0_seq1
Ofaveolata_548	comp3651_c0_seq1
Ofaveolata_549	comp3657_c0_seq1
Ofaveolata_550	comp3659_c0_seq1
Ofaveolata_551	comp3660_c0_seq1
Ofaveolata_552	comp3672_c0_seq1
Ofaveolata_553	comp3678_c0_seq1
Ofaveolata_554	comp3689_c0_seq1
Ofaveolata_555	comp3694_c0_seq1
Ofaveolata_556	comp3708_c0_seq1
Ofaveolata_557	comp3711_c0_seq1
Ofaveolata_558	comp3714_c0_seq1
Ofaveolata_559	comp3721_c0_seq1
Ofaveolata_560	comp3741_c0_seq1
Ofaveolata_561	comp3757_c0_seq1
Ofaveolata_562	comp3763_c0_seq1
Ofaveolata_563	comp3782_c0_seq1
Ofaveolata_564	comp3796_c0_seq1
Ofaveolata_565	comp3805_c0_seq1
Ofaveolata_566	comp3816_c0_seq1
Ofaveolata_567	comp3842_c0_seq1
Ofaveolata_568	comp3848_c0_seq1
Ofaveolata_569	comp3867_c0_seq1
Ofaveolata_570	comp3880_c0_seq1
Ofaveolata_571	comp3890_c0_seq1
Ofaveolata_572	comp3892_c0_seq1
Ofaveolata_573	comp3898_c0_seq1
Ofaveolata_574	comp3904_c0_seq1
Ofaveolata_575	comp3910_c0_seq1
Ofaveolata_576	comp3916_c0_seq1
Ofaveolata_577	comp3920_c0_seq1
Ofaveolata_578	comp3926_c0_seq1
Ofaveolata_579	comp3933_c0_seq1
Ofaveolata_580	comp3938_c0_seq1
Ofaveolata_581	comp3941_c0_seq1
Ofaveolata_582	comp3944_c0_seq1
Ofaveolata_583	comp3949_c0_seq1
Ofaveolata_584	comp3959_c0_seq1
Ofaveolata_585	comp3961_c0_seq1
Ofaveolata_586	comp3980_c0_seq1
Ofaveolata_587	comp3980_c0_seq2
Ofaveolata_588	comp3981_c0_seq1
Ofaveolata_589	comp3982_c0_seq1
Ofaveolata_590	comp3986_c0_seq1
Ofaveolata_591	comp4008_c0_seq1
Ofaveolata_592	comp4027_c0_seq1
Ofaveolata_593	comp4031_c0_seq1
Ofaveolata_594	comp4032_c0_seq1
Ofaveolata_595	comp4041_c0_seq1
Ofaveolata_596	comp4060_c0_seq1
Ofaveolata_597	comp4065_c0_seq1
Ofaveolata_598	comp4081_c0_seq1
