Mcapitata_406	lcl|c171638_g4_i1
Mcapitata_407	lcl|c171747_g3_i1
Mcapitata_408	lcl|c171790_g1_i1
Mcapitata_409	lcl|c172229_g1_i1
Mcapitata_410	lcl|c172583_g1_i1
Mcapitata_411	lcl|c172741_g2_i1
Mcapitata_412	lcl|c172787_g2_i1
Mcapitata_413	lcl|c172887_g1_i1
Mcapitata_414	lcl|c173259_g2_i1
Mcapitata_415	lcl|c173259_g2_i2
Mcapitata_416	lcl|c173350_g1_i1
Mcapitata_417	lcl|c173364_g1_i1
Mcapitata_418	lcl|c173442_g3_i1
Mcapitata_419	lcl|c173664_g1_i1
Mcapitata_420	lcl|c173924_g1_i1
Mcapitata_421	lcl|c173934_g1_i1
Mcapitata_422	lcl|c173934_g1_i2
Mcapitata_423	lcl|c174114_g1_i1
Mcapitata_424	lcl|c174114_g1_i2
Mcapitata_425	lcl|c174297_g1_i1
Mcapitata_426	lcl|c174350_g1_i1
Mcapitata_427	lcl|c174989_g1_i1
Mcapitata_428	lcl|c175112_g1_i1
Mcapitata_429	lcl|c175158_g1_i2
Mcapitata_430	lcl|c175293_g2_i1
Mcapitata_431	lcl|c175296_g1_i1
Mcapitata_432	lcl|c175447_g3_i1
Mcapitata_433	lcl|c175583_g1_i2
Mcapitata_434	lcl|c175604_g1_i1
Mcapitata_435	lcl|c175718_g2_i1
Mcapitata_436	lcl|c175791_g3_i2
Mcapitata_437	lcl|c175791_g3_i3
Mcapitata_438	lcl|c175791_g3_i4
Mcapitata_439	lcl|c176275_g1_i1
Mcapitata_440	lcl|c176293_g1_i1
Mcapitata_441	lcl|c176627_g1_i2
Mcapitata_442	lcl|c176630_g1_i1
Mcapitata_443	lcl|c176651_g1_i1
Mcapitata_444	lcl|c176838_g1_i1
Mcapitata_445	lcl|c176838_g1_i2
Mcapitata_446	lcl|c176839_g4_i1
Mcapitata_447	lcl|c176936_g1_i2
Mcapitata_448	lcl|c176969_g1_i1
Mcapitata_449	lcl|c177045_g1_i1
Mcapitata_450	lcl|c177275_g1_i1
Mcapitata_451	lcl|c177299_g1_i1
Mcapitata_452	lcl|c177320_g1_i1
Mcapitata_453	lcl|c177334_g1_i1
Mcapitata_454	lcl|c177366_g1_i1
Mcapitata_455	lcl|c177366_g1_i2
Mcapitata_456	lcl|c177406_g1_i1
Mcapitata_457	lcl|c177410_g1_i1
Mcapitata_458	lcl|c177467_g3_i1
Mcapitata_459	lcl|c177560_g1_i1
Mcapitata_460	lcl|c177607_g3_i1
Mcapitata_461	lcl|c177794_g2_i1
Mcapitata_462	lcl|c177855_g1_i1
Mcapitata_463	lcl|c178026_g1_i1
Mcapitata_464	lcl|c178160_g1_i1
Mcapitata_465	lcl|c178509_g1_i1
Mcapitata_466	lcl|c178541_g1_i1
Mcapitata_467	lcl|c178541_g1_i5
Mcapitata_468	lcl|c178561_g1_i1
Mcapitata_469	lcl|c178668_g1_i1
Mcapitata_470	lcl|c178705_g1_i1
Mcapitata_471	lcl|c178898_g1_i1
Mcapitata_472	lcl|c179058_g2_i1
Mcapitata_473	lcl|c179164_g1_i2
Mcapitata_474	lcl|c179171_g1_i1
Mcapitata_475	lcl|c179171_g2_i1
Mcapitata_476	lcl|c179171_g3_i1
Mcapitata_477	lcl|c179236_g1_i1
Mcapitata_478	lcl|c179256_g1_i1
Mcapitata_479	lcl|c179346_g1_i1
Mcapitata_480	lcl|c179363_g1_i1
Mcapitata_481	lcl|c179479_g1_i1
Mcapitata_482	lcl|c179491_g2_i1
Mcapitata_483	lcl|c179542_g1_i1
Mcapitata_484	lcl|c179747_g1_i1
Mcapitata_485	lcl|c179768_g1_i2
Mcapitata_486	lcl|c179773_g1_i1
Mcapitata_487	lcl|c179890_g1_i2
Mcapitata_488	lcl|c179918_g1_i2
Mcapitata_489	lcl|c179946_g1_i1
Mcapitata_490	lcl|c179980_g2_i2
Mcapitata_491	lcl|c180066_g1_i1
Mcapitata_492	lcl|c180161_g1_i1
Mcapitata_493	lcl|c180307_g1_i1
Mcapitata_494	lcl|c180392_g1_i1
Mcapitata_495	lcl|c180468_g1_i1
Mcapitata_496	lcl|c180548_g1_i1
Mcapitata_497	lcl|c180636_g2_i1
Mcapitata_498	lcl|c180763_g1_i1
Mcapitata_499	lcl|c180816_g2_i1
Mcapitata_500	lcl|c180855_g1_i1
Mcapitata_501	lcl|c180921_g1_i1
Mcapitata_502	lcl|c181451_g1_i1
Mcapitata_503	lcl|c181558_g1_i2
Mcapitata_504	lcl|c181622_g1_i1
Mcapitata_505	lcl|c181783_g1_i1
Mcapitata_506	lcl|c181945_g1_i1
Mcapitata_507	lcl|c182138_g3_i1
Mcapitata_508	lcl|c182276_g1_i1
Mcapitata_509	lcl|c182463_g1_i1
Mcapitata_510	lcl|c182487_g1_i1
Mcapitata_511	lcl|c182611_g2_i1
Mcapitata_512	lcl|c182731_g1_i1
Mcapitata_513	lcl|c182783_g2_i1
Mcapitata_514	lcl|c183125_g3_i1
Mcapitata_515	lcl|c183125_g3_i3
Mcapitata_516	lcl|c183144_g1_i1
Mcapitata_517	lcl|c183284_g1_i1
Mcapitata_518	lcl|c183289_g1_i1
Mcapitata_519	lcl|c183289_g1_i2
Mcapitata_520	lcl|c183361_g1_i2
Mcapitata_521	lcl|c183418_g3_i1
Mcapitata_522	lcl|c183451_g1_i1
Mcapitata_523	lcl|c183500_g1_i1
Mcapitata_524	lcl|c183553_g1_i1
Mcapitata_525	lcl|c183555_g2_i1
Mcapitata_526	lcl|c183690_g1_i1
Mcapitata_527	lcl|c183731_g1_i1
Mcapitata_528	lcl|c183735_g1_i1
Mcapitata_529	lcl|c183807_g2_i1
Mcapitata_530	lcl|c183884_g1_i1
Mcapitata_531	lcl|c184116_g1_i1
Mcapitata_532	lcl|c184118_g1_i1
Mcapitata_533	lcl|c184527_g1_i1
Mcapitata_534	lcl|c184627_g3_i1
Mcapitata_535	lcl|c184702_g1_i1
Mcapitata_536	lcl|c184802_g1_i1
Mcapitata_537	lcl|c184844_g1_i1
Mcapitata_538	lcl|c184920_g2_i1
Mcapitata_539	lcl|c184951_g1_i2
Mcapitata_540	lcl|c184986_g1_i1
Mcapitata_541	lcl|c185036_g1_i1
Mcapitata_542	lcl|c185442_g1_i1
Mcapitata_543	lcl|c185452_g1_i1
Mcapitata_544	lcl|c185457_g1_i1
Mcapitata_545	lcl|c185497_g1_i1
Mcapitata_546	lcl|c185691_g1_i1
Mcapitata_547	lcl|c185746_g1_i1
Mcapitata_548	lcl|c185746_g2_i1
Mcapitata_549	lcl|c185883_g1_i2
Mcapitata_550	lcl|c185910_g1_i2
Mcapitata_551	lcl|c185916_g1_i1
Mcapitata_552	lcl|c185965_g1_i2
Mcapitata_553	lcl|c185981_g1_i1
Mcapitata_554	lcl|c185981_g1_i2
Mcapitata_555	lcl|c185999_g1_i1
Mcapitata_556	lcl|c186065_g1_i1
Mcapitata_557	lcl|c186072_g1_i3
Mcapitata_558	lcl|c186217_g1_i1
Mcapitata_559	lcl|c186306_g1_i1
Mcapitata_560	lcl|c1863_g1_i1
Mcapitata_561	lcl|c186422_g2_i1
Mcapitata_562	lcl|c186438_g1_i2
Mcapitata_563	lcl|c186605_g1_i1
Mcapitata_564	lcl|c186713_g2_i2
Mcapitata_565	lcl|c186787_g1_i1
Mcapitata_566	lcl|c186818_g1_i1
Mcapitata_567	lcl|c186912_g1_i1
Mcapitata_568	lcl|c187137_g1_i1
Mcapitata_569	lcl|c187196_g1_i1
Mcapitata_570	lcl|c187236_g1_i1
Mcapitata_571	lcl|c187253_g2_i1
Mcapitata_572	lcl|c187271_g1_i1
Mcapitata_573	lcl|c187430_g1_i1
Mcapitata_574	lcl|c187448_g3_i1
Mcapitata_575	lcl|c187492_g3_i1
Mcapitata_576	lcl|c187499_g2_i1
Mcapitata_577	lcl|c187586_g1_i1
Mcapitata_578	lcl|c187734_g2_i1
Mcapitata_579	lcl|c187743_g1_i2
Mcapitata_580	lcl|c187808_g1_i1
Mcapitata_581	lcl|c187838_g1_i1
Mcapitata_582	lcl|c187954_g2_i1
Mcapitata_583	lcl|c187971_g1_i1
Mcapitata_584	lcl|c188047_g2_i2
Mcapitata_585	lcl|c188057_g1_i2
Mcapitata_586	lcl|c188057_g1_i3
Mcapitata_587	lcl|c188073_g1_i1
Mcapitata_588	lcl|c188073_g1_i2
Mcapitata_589	lcl|c188121_g2_i1
Mcapitata_590	lcl|c188121_g2_i2
Mcapitata_591	lcl|c188162_g2_i1
Mcapitata_592	lcl|c188178_g1_i1
Mcapitata_593	lcl|c188184_g1_i1
Mcapitata_594	lcl|c188207_g1_i1
Mcapitata_595	lcl|c188276_g1_i1
Mcapitata_596	lcl|c188321_g2_i1
Mcapitata_597	lcl|c188335_g1_i1
Mcapitata_598	lcl|c188359_g2_i1
Mcapitata_599	lcl|c188515_g1_i1
Mcapitata_600	lcl|c188550_g1_i1
Mcapitata_601	lcl|c188574_g1_i2
Mcapitata_602	lcl|c188593_g1_i1
Mcapitata_603	lcl|c188616_g2_i1
Mcapitata_604	lcl|c188670_g1_i1
Mcapitata_605	lcl|c188684_g1_i1
Mcapitata_606	lcl|c188687_g2_i1
Mcapitata_607	lcl|c188696_g1_i1
Mcapitata_608	lcl|c188757_g1_i1
