Ahyacinthu_582	contig12130
Ahyacinthu_583	contig12141
Ahyacinthu_584	contig12146
Ahyacinthu_585	contig12223
Ahyacinthu_586	contig12224
Ahyacinthu_587	contig12228
Ahyacinthu_588	contig12238
Ahyacinthu_589	contig12239
Ahyacinthu_590	contig12261
Ahyacinthu_591	contig12281
Ahyacinthu_592	contig12291
Ahyacinthu_593	contig12296
Ahyacinthu_594	contig12299
Ahyacinthu_595	contig12306
Ahyacinthu_596	contig12333
Ahyacinthu_597	contig12346
Ahyacinthu_598	contig12377
Ahyacinthu_599	contig12390
Ahyacinthu_600	contig12475
Ahyacinthu_601	contig12476
Ahyacinthu_602	contig12497
Ahyacinthu_603	contig12538
Ahyacinthu_604	contig12556
Ahyacinthu_605	contig12560
Ahyacinthu_606	contig12572
Ahyacinthu_607	contig12573
Ahyacinthu_608	contig12608
Ahyacinthu_609	contig12639
Ahyacinthu_610	contig12642
Ahyacinthu_611	contig12670
Ahyacinthu_612	contig12676
Ahyacinthu_613	contig12693
Ahyacinthu_614	contig12708
Ahyacinthu_615	contig12720
Ahyacinthu_616	contig12734
Ahyacinthu_617	contig12738
Ahyacinthu_618	contig12754
Ahyacinthu_619	contig12762
Ahyacinthu_620	contig12764
Ahyacinthu_621	contig12786
Ahyacinthu_622	contig12801
Ahyacinthu_623	contig12804
Ahyacinthu_624	contig12818
Ahyacinthu_625	contig12820
Ahyacinthu_626	contig12827
Ahyacinthu_627	contig12855
Ahyacinthu_628	contig12873
Ahyacinthu_629	contig12876
Ahyacinthu_630	contig12883
Ahyacinthu_631	contig12896
Ahyacinthu_632	contig12927
Ahyacinthu_633	contig12933
Ahyacinthu_634	contig12940
Ahyacinthu_635	contig12941
Ahyacinthu_636	contig13009
Ahyacinthu_637	contig13014
Ahyacinthu_638	contig13029
Ahyacinthu_639	contig13033
Ahyacinthu_640	contig13040
Ahyacinthu_641	contig13041
Ahyacinthu_642	contig13058
Ahyacinthu_643	contig13063
Ahyacinthu_644	contig13089
Ahyacinthu_645	contig13090
Ahyacinthu_646	contig13106
Ahyacinthu_647	contig13107
Ahyacinthu_648	contig13109
Ahyacinthu_649	contig13111
Ahyacinthu_650	contig13119
Ahyacinthu_651	contig13120
Ahyacinthu_652	contig13123
Ahyacinthu_653	contig13140
Ahyacinthu_654	contig13141
Ahyacinthu_655	contig13143
Ahyacinthu_656	contig13151
Ahyacinthu_657	contig13153
Ahyacinthu_658	contig13155
Ahyacinthu_659	contig13164
Ahyacinthu_660	contig13166
Ahyacinthu_661	contig13181
Ahyacinthu_662	contig13197
Ahyacinthu_663	contig13202
Ahyacinthu_664	contig13209
Ahyacinthu_665	contig13219
Ahyacinthu_666	contig13227
Ahyacinthu_667	contig13252
Ahyacinthu_668	contig13260
Ahyacinthu_669	contig13263
Ahyacinthu_670	contig13267
Ahyacinthu_671	contig13282
Ahyacinthu_672	contig13286
Ahyacinthu_673	contig13287
Ahyacinthu_674	contig13317
Ahyacinthu_675	contig13321
Ahyacinthu_676	contig13380
Ahyacinthu_677	contig13389
Ahyacinthu_678	contig13391
Ahyacinthu_679	contig13393
Ahyacinthu_680	contig13407
Ahyacinthu_681	contig13420
Ahyacinthu_682	contig13426
Ahyacinthu_683	contig13432
Ahyacinthu_684	contig13468
Ahyacinthu_685	contig13472
Ahyacinthu_686	contig13491
Ahyacinthu_687	contig13513
Ahyacinthu_688	contig13514
Ahyacinthu_689	contig13533
Ahyacinthu_690	contig13549
Ahyacinthu_691	contig13558
Ahyacinthu_692	contig13562
Ahyacinthu_693	contig13566
Ahyacinthu_694	contig13586
Ahyacinthu_695	contig13598
Ahyacinthu_696	contig13609
Ahyacinthu_697	contig13617
Ahyacinthu_698	contig13624
Ahyacinthu_699	contig13626
Ahyacinthu_700	contig13652
Ahyacinthu_701	contig13654
Ahyacinthu_702	contig13658
Ahyacinthu_703	contig13660
Ahyacinthu_704	contig13687
Ahyacinthu_705	contig13720
Ahyacinthu_706	contig13739
Ahyacinthu_707	contig13749
Ahyacinthu_708	contig13751
Ahyacinthu_709	contig13794
Ahyacinthu_710	contig13799
Ahyacinthu_711	contig13805
Ahyacinthu_712	contig13814
Ahyacinthu_713	contig13827
Ahyacinthu_714	contig13866
Ahyacinthu_715	contig13879
Ahyacinthu_716	contig13900
Ahyacinthu_717	contig13904
Ahyacinthu_718	contig13905
Ahyacinthu_719	contig13911
Ahyacinthu_720	contig13924
Ahyacinthu_721	contig13929
Ahyacinthu_722	contig13934
Ahyacinthu_723	contig13970
Ahyacinthu_724	contig13975
Ahyacinthu_725	contig13985
Ahyacinthu_726	contig13988
Ahyacinthu_727	contig13990
Ahyacinthu_728	contig13992
Ahyacinthu_729	contig14005
Ahyacinthu_730	contig14015
Ahyacinthu_731	contig14033
Ahyacinthu_732	contig14037
Ahyacinthu_733	contig14042
Ahyacinthu_734	contig14057
Ahyacinthu_735	contig14058
Ahyacinthu_736	contig14066
Ahyacinthu_737	contig14067
Ahyacinthu_738	contig14080
Ahyacinthu_739	contig14092
Ahyacinthu_740	contig14107
Ahyacinthu_741	contig14108
Ahyacinthu_742	contig14144
Ahyacinthu_743	contig14146
Ahyacinthu_744	contig14149
Ahyacinthu_745	contig14154
Ahyacinthu_746	contig14160
Ahyacinthu_747	contig14164
Ahyacinthu_748	contig14177
Ahyacinthu_749	contig14183
Ahyacinthu_750	contig14194
Ahyacinthu_751	contig14196
Ahyacinthu_752	contig14214
Ahyacinthu_753	contig14216
Ahyacinthu_754	contig14226
Ahyacinthu_755	contig14234
Ahyacinthu_756	contig14236
Ahyacinthu_757	contig14237
Ahyacinthu_758	contig14243
Ahyacinthu_759	contig14260
Ahyacinthu_760	contig14262
Ahyacinthu_761	contig14263
Ahyacinthu_762	contig14303
Ahyacinthu_763	contig14313
Ahyacinthu_764	contig14330
Ahyacinthu_765	contig14344
Ahyacinthu_766	contig14360
Ahyacinthu_767	contig14361
Ahyacinthu_768	contig14402
Ahyacinthu_769	contig14403
Ahyacinthu_770	contig14450
Ahyacinthu_771	contig14469
Ahyacinthu_772	contig14473
Ahyacinthu_773	contig14499
Ahyacinthu_774	contig14521
Ahyacinthu_775	contig14558
Ahyacinthu_776	contig14567
Ahyacinthu_777	contig14568
Ahyacinthu_778	contig14609
Ahyacinthu_779	contig14618
Ahyacinthu_780	contig14626
Ahyacinthu_781	contig14637
Ahyacinthu_782	contig14645
Ahyacinthu_783	contig14660
Ahyacinthu_784	contig14672
Ahyacinthu_785	contig14673
Ahyacinthu_786	contig14678
Ahyacinthu_787	contig14682
Ahyacinthu_788	contig14687
Ahyacinthu_789	contig14688
Ahyacinthu_790	contig14693
Ahyacinthu_791	contig14711
Ahyacinthu_792	contig14757
Ahyacinthu_793	contig14764
Ahyacinthu_794	contig14796
Ahyacinthu_795	contig14845
Ahyacinthu_796	contig14871
Ahyacinthu_797	contig14872
Ahyacinthu_798	contig14879
Ahyacinthu_799	contig14888
Ahyacinthu_800	contig14892
Ahyacinthu_801	contig14897
Ahyacinthu_802	contig14904
Ahyacinthu_803	contig14911
Ahyacinthu_804	contig14916
Ahyacinthu_805	contig14935
Ahyacinthu_806	contig14943
Ahyacinthu_807	contig14966
Ahyacinthu_808	contig14969
Ahyacinthu_809	contig15031
Ahyacinthu_810	contig15033
Ahyacinthu_811	contig15057
Ahyacinthu_812	contig15059
Ahyacinthu_813	contig15086
Ahyacinthu_814	contig15105
Ahyacinthu_815	contig15109
Ahyacinthu_816	contig15128
Ahyacinthu_817	contig15133
Ahyacinthu_818	contig15136
Ahyacinthu_819	contig15157
Ahyacinthu_820	contig15158
