Acervicorn_349	GASU01000349.1
Acervicorn_350	GASU01000350.1
Acervicorn_351	GASU01000351.1
Acervicorn_352	GASU01000352.1
Acervicorn_353	GASU01000353.1
Acervicorn_354	GASU01000354.1
Acervicorn_355	GASU01000355.1
Acervicorn_356	GASU01000356.1
Acervicorn_357	GASU01000357.1
Acervicorn_358	GASU01000358.1
Acervicorn_359	GASU01000359.1
Acervicorn_360	GASU01000360.1
Acervicorn_361	GASU01000361.1
Acervicorn_362	GASU01000362.1
Acervicorn_363	GASU01000363.1
Acervicorn_364	GASU01000364.1
Acervicorn_365	GASU01000365.1
Acervicorn_366	GASU01000366.1
Acervicorn_367	GASU01000367.1
Acervicorn_368	GASU01000368.1
Acervicorn_369	GASU01000369.1
Acervicorn_370	GASU01000370.1
Acervicorn_371	GASU01000371.1
Acervicorn_372	GASU01000372.1
Acervicorn_373	GASU01000373.1
Acervicorn_374	GASU01000374.1
Acervicorn_375	GASU01000375.1
Acervicorn_376	GASU01000376.1
Acervicorn_377	GASU01000377.1
Acervicorn_378	GASU01000378.1
Acervicorn_379	GASU01000379.1
Acervicorn_380	GASU01000380.1
Acervicorn_381	GASU01000381.1
Acervicorn_382	GASU01000382.1
Acervicorn_383	GASU01000383.1
Acervicorn_384	GASU01000384.1
Acervicorn_385	GASU01000385.1
Acervicorn_386	GASU01000386.1
Acervicorn_387	GASU01000387.1
Acervicorn_388	GASU01000388.1
Acervicorn_389	GASU01000389.1
Acervicorn_390	GASU01000390.1
Acervicorn_391	GASU01000391.1
Acervicorn_392	GASU01000392.1
Acervicorn_393	GASU01000393.1
Acervicorn_394	GASU01000394.1
Acervicorn_395	GASU01000395.1
Acervicorn_396	GASU01000396.1
Acervicorn_397	GASU01000397.1
Acervicorn_398	GASU01000398.1
Acervicorn_399	GASU01000399.1
Acervicorn_400	GASU01000400.1
Acervicorn_401	GASU01000401.1
Acervicorn_402	GASU01000402.1
Acervicorn_403	GASU01000403.1
Acervicorn_404	GASU01000404.1
Acervicorn_405	GASU01000405.1
Acervicorn_406	GASU01000406.1
Acervicorn_407	GASU01000407.1
Acervicorn_408	GASU01000408.1
Acervicorn_409	GASU01000409.1
Acervicorn_410	GASU01000410.1
Acervicorn_411	GASU01000411.1
Acervicorn_412	GASU01000412.1
Acervicorn_413	GASU01000413.1
Acervicorn_414	GASU01000414.1
Acervicorn_415	GASU01000415.1
Acervicorn_416	GASU01000416.1
Acervicorn_417	GASU01000417.1
Acervicorn_418	GASU01000418.1
Acervicorn_419	GASU01000419.1
Acervicorn_420	GASU01000420.1
Acervicorn_421	GASU01000421.1
Acervicorn_422	GASU01000422.1
Acervicorn_423	GASU01000423.1
Acervicorn_424	GASU01000424.1
Acervicorn_425	GASU01000425.1
Acervicorn_426	GASU01000426.1
Acervicorn_427	GASU01000427.1
Acervicorn_428	GASU01000428.1
Acervicorn_429	GASU01000429.1
Acervicorn_430	GASU01000430.1
Acervicorn_431	GASU01000431.1
Acervicorn_432	GASU01000432.1
Acervicorn_433	GASU01000433.1
Acervicorn_434	GASU01000434.1
Acervicorn_435	GASU01000435.1
Acervicorn_436	GASU01000436.1
Acervicorn_437	GASU01000437.1
Acervicorn_438	GASU01000438.1
Acervicorn_439	GASU01000439.1
Acervicorn_440	GASU01000440.1
Acervicorn_441	GASU01000441.1
Acervicorn_442	GASU01000442.1
Acervicorn_443	GASU01000443.1
Acervicorn_444	GASU01000444.1
Acervicorn_445	GASU01000445.1
Acervicorn_446	GASU01000446.1
Acervicorn_447	GASU01000447.1
Acervicorn_448	GASU01000448.1
Acervicorn_449	GASU01000449.1
Acervicorn_450	GASU01000450.1
Acervicorn_451	GASU01000451.1
Acervicorn_452	GASU01000452.1
Acervicorn_453	GASU01000453.1
Acervicorn_454	GASU01000454.1
Acervicorn_455	GASU01000455.1
Acervicorn_456	GASU01000456.1
Acervicorn_457	GASU01000457.1
Acervicorn_458	GASU01000458.1
Acervicorn_459	GASU01000459.1
Acervicorn_460	GASU01000460.1
Acervicorn_461	GASU01000461.1
Acervicorn_462	GASU01000462.1
Acervicorn_463	GASU01000463.1
Acervicorn_464	GASU01000464.1
Acervicorn_465	GASU01000465.1
Acervicorn_466	GASU01000466.1
Acervicorn_467	GASU01000467.1
Acervicorn_468	GASU01000468.1
Acervicorn_469	GASU01000469.1
Acervicorn_470	GASU01000470.1
Acervicorn_471	GASU01000471.1
Acervicorn_472	GASU01000472.1
Acervicorn_473	GASU01000473.1
Acervicorn_474	GASU01000474.1
Acervicorn_475	GASU01000475.1
Acervicorn_476	GASU01000476.1
Acervicorn_477	GASU01000477.1
Acervicorn_478	GASU01000478.1
Acervicorn_479	GASU01000479.1
Acervicorn_480	GASU01000480.1
Acervicorn_481	GASU01000481.1
Acervicorn_482	GASU01000482.1
Acervicorn_483	GASU01000483.1
Acervicorn_484	GASU01000484.1
Acervicorn_485	GASU01000485.1
Acervicorn_486	GASU01000486.1
Acervicorn_487	GASU01000487.1
Acervicorn_488	GASU01000488.1
Acervicorn_489	GASU01000489.1
Acervicorn_490	GASU01000490.1
Acervicorn_491	GASU01000491.1
Acervicorn_492	GASU01000492.1
Acervicorn_493	GASU01000493.1
Acervicorn_494	GASU01000494.1
Acervicorn_495	GASU01000495.1
Acervicorn_496	GASU01000496.1
Acervicorn_497	GASU01000497.1
Acervicorn_498	GASU01000498.1
Acervicorn_499	GASU01000499.1
Acervicorn_500	GASU01000500.1
Acervicorn_501	GASU01000501.1
Acervicorn_502	GASU01000502.1
Acervicorn_503	GASU01000503.1
Acervicorn_504	GASU01000504.1
Acervicorn_505	GASU01000505.1
Acervicorn_506	GASU01000506.1
Acervicorn_507	GASU01000507.1
Acervicorn_508	GASU01000508.1
Acervicorn_509	GASU01000509.1
Acervicorn_510	GASU01000510.1
Acervicorn_511	GASU01000511.1
Acervicorn_512	GASU01000512.1
Acervicorn_513	GASU01000513.1
Acervicorn_514	GASU01000514.1
Acervicorn_515	GASU01000515.1
Acervicorn_516	GASU01000516.1
Acervicorn_517	GASU01000517.1
Acervicorn_518	GASU01000518.1
Acervicorn_519	GASU01000519.1
Acervicorn_520	GASU01000520.1
Acervicorn_521	GASU01000521.1
Acervicorn_522	GASU01000522.1
Acervicorn_523	GASU01000523.1
Acervicorn_524	GASU01000524.1
Acervicorn_525	GASU01000525.1
Acervicorn_526	GASU01000526.1
Acervicorn_527	GASU01000527.1
Acervicorn_528	GASU01000528.1
Acervicorn_529	GASU01000529.1
Acervicorn_530	GASU01000530.1
Acervicorn_531	GASU01000531.1
Acervicorn_532	GASU01000532.1
Acervicorn_533	GASU01000533.1
Acervicorn_534	GASU01000534.1
Acervicorn_535	GASU01000535.1
Acervicorn_536	GASU01000536.1
Acervicorn_537	GASU01000537.1
Acervicorn_538	GASU01000538.1
