Ssiderea_551	comp67010_c0_seq1
Ssiderea_552	comp67010_c0_seq2
Ssiderea_553	comp67011_c0_seq1
Ssiderea_554	comp67237_c0_seq1
Ssiderea_555	comp67250_c0_seq1
Ssiderea_556	comp67481_c0_seq1
Ssiderea_557	comp67557_c0_seq1
Ssiderea_558	comp67635_c0_seq1
Ssiderea_559	comp67704_c0_seq1
Ssiderea_560	comp67833_c0_seq1
Ssiderea_561	comp67906_c0_seq1
Ssiderea_562	comp67906_c0_seq2
Ssiderea_563	comp67934_c0_seq1
Ssiderea_564	comp68051_c0_seq1
Ssiderea_565	comp68075_c0_seq1
Ssiderea_566	comp68125_c0_seq1
Ssiderea_567	comp68172_c0_seq1
Ssiderea_568	comp68172_c0_seq2
Ssiderea_569	comp68248_c0_seq1
Ssiderea_570	comp68263_c0_seq1
Ssiderea_571	comp68404_c0_seq1
Ssiderea_572	comp68434_c0_seq1
Ssiderea_573	comp68481_c0_seq1
Ssiderea_574	comp68514_c0_seq1
Ssiderea_575	comp68569_c0_seq1
Ssiderea_576	comp68572_c0_seq1
Ssiderea_577	comp68576_c0_seq1
Ssiderea_578	comp68656_c0_seq1
Ssiderea_579	comp68669_c0_seq1
Ssiderea_580	comp68824_c0_seq1
Ssiderea_581	comp68845_c0_seq1
Ssiderea_582	comp69057_c0_seq1
Ssiderea_583	comp69064_c0_seq1
Ssiderea_584	comp69064_c0_seq2
Ssiderea_585	comp69161_c0_seq1
Ssiderea_586	comp69202_c0_seq1
Ssiderea_587	comp69278_c0_seq2
Ssiderea_588	comp69366_c0_seq1
Ssiderea_589	comp69457_c0_seq1
Ssiderea_590	comp69531_c0_seq1
Ssiderea_591	comp69796_c0_seq1
Ssiderea_592	comp69823_c0_seq1
Ssiderea_593	comp69878_c0_seq1
Ssiderea_594	comp70019_c0_seq1
Ssiderea_595	comp70045_c0_seq1
Ssiderea_596	comp70082_c0_seq1
Ssiderea_597	comp70287_c0_seq1
Ssiderea_598	comp70425_c0_seq1
Ssiderea_599	comp70650_c0_seq1
Ssiderea_600	comp70782_c0_seq1
Ssiderea_601	comp70950_c0_seq2
Ssiderea_602	comp71028_c0_seq1
Ssiderea_603	comp71086_c0_seq1
Ssiderea_604	comp71113_c0_seq1
Ssiderea_605	comp71473_c0_seq1
Ssiderea_606	comp71473_c0_seq2
Ssiderea_607	comp71710_c0_seq1
Ssiderea_608	comp71755_c0_seq2
Ssiderea_609	comp71763_c0_seq1
Ssiderea_610	comp71949_c0_seq1
Ssiderea_611	comp71953_c0_seq1
Ssiderea_612	comp71970_c0_seq1
Ssiderea_613	comp72234_c0_seq1
Ssiderea_614	comp72393_c0_seq1
Ssiderea_615	comp72504_c0_seq1
Ssiderea_616	comp72662_c0_seq1
Ssiderea_617	comp72662_c0_seq2
Ssiderea_618	comp72746_c0_seq1
Ssiderea_619	comp72758_c0_seq2
Ssiderea_620	comp72784_c0_seq1
Ssiderea_621	comp72807_c0_seq1
Ssiderea_622	comp72976_c0_seq1
Ssiderea_623	comp73008_c0_seq1
Ssiderea_624	comp73072_c0_seq1
Ssiderea_625	comp73359_c0_seq1
Ssiderea_626	comp73419_c0_seq1
Ssiderea_627	comp73556_c0_seq1
Ssiderea_628	comp73601_c0_seq1
Ssiderea_629	comp73633_c0_seq2
Ssiderea_630	comp73944_c0_seq1
Ssiderea_631	comp73969_c0_seq1
Ssiderea_632	comp73989_c0_seq1
Ssiderea_633	comp74014_c0_seq1
Ssiderea_634	comp74161_c0_seq1
Ssiderea_635	comp74161_c0_seq2
Ssiderea_636	comp74418_c0_seq1
Ssiderea_637	comp74494_c0_seq1
Ssiderea_638	comp74585_c0_seq1
Ssiderea_639	comp74626_c0_seq1
Ssiderea_640	comp74719_c0_seq1
Ssiderea_641	comp74758_c0_seq1
Ssiderea_642	comp74758_c0_seq2
Ssiderea_643	comp75086_c0_seq2
Ssiderea_644	comp75364_c0_seq2
Ssiderea_645	comp75708_c0_seq1
Ssiderea_646	comp75710_c0_seq1
Ssiderea_647	comp75841_c0_seq1
Ssiderea_648	comp75861_c0_seq1
Ssiderea_649	comp75894_c0_seq1
Ssiderea_650	comp75960_c0_seq1
Ssiderea_651	comp76178_c0_seq1
Ssiderea_652	comp76189_c0_seq1
Ssiderea_653	comp76192_c0_seq1
Ssiderea_654	comp76272_c0_seq1
Ssiderea_655	comp76342_c0_seq1
Ssiderea_656	comp76382_c0_seq1
Ssiderea_657	comp76383_c0_seq1
Ssiderea_658	comp76419_c0_seq2
Ssiderea_659	comp76420_c0_seq1
Ssiderea_660	comp76420_c0_seq2
Ssiderea_661	comp76427_c0_seq1
Ssiderea_662	comp76491_c0_seq1
Ssiderea_663	comp76568_c0_seq1
Ssiderea_664	comp76710_c0_seq1
Ssiderea_665	comp76774_c0_seq1
Ssiderea_666	comp76929_c0_seq1
Ssiderea_667	comp76933_c0_seq1
