Pstrigosa_445	comp53069_c0_seq4
Pstrigosa_446	comp49028_c0_seq1
Pstrigosa_447	comp49199_c0_seq1
Pstrigosa_448	comp46570_c0_seq1
Pstrigosa_449	comp52152_c0_seq1
Pstrigosa_450	comp56273_c0_seq4
Pstrigosa_451	comp50764_c0_seq5
Pstrigosa_452	comp46687_c0_seq12
Pstrigosa_453	comp54575_c0_seq1
Pstrigosa_454	comp53652_c0_seq1
Pstrigosa_455	comp51900_c0_seq1
Pstrigosa_456	comp51469_c0_seq2
Pstrigosa_457	comp57165_c0_seq1
Pstrigosa_458	comp50815_c0_seq1
Pstrigosa_459	comp47307_c0_seq1
Pstrigosa_460	comp56178_c0_seq9
Pstrigosa_461	comp50676_c0_seq2
Pstrigosa_462	comp53316_c0_seq2
Pstrigosa_463	comp51592_c0_seq8
Pstrigosa_464	comp55101_c0_seq1
Pstrigosa_465	comp57204_c0_seq2
Pstrigosa_466	comp54029_c1_seq1
Pstrigosa_467	comp46297_c0_seq4
Pstrigosa_468	comp56802_c0_seq1
Pstrigosa_469	comp48207_c0_seq1
Pstrigosa_470	comp48271_c0_seq1
Pstrigosa_471	comp49275_c0_seq1
Pstrigosa_472	comp56782_c0_seq1
Pstrigosa_473	comp48707_c0_seq1
Pstrigosa_474	comp54871_c0_seq2
Pstrigosa_475	comp54251_c0_seq2
Pstrigosa_476	comp53093_c0_seq1
Pstrigosa_477	comp48731_c0_seq2
Pstrigosa_478	comp48491_c0_seq2
Pstrigosa_479	comp49979_c0_seq1
Pstrigosa_480	comp50375_c0_seq2
Pstrigosa_481	comp51848_c0_seq3
Pstrigosa_482	comp51744_c0_seq1
Pstrigosa_483	comp51426_c0_seq2
Pstrigosa_484	comp48759_c0_seq3
Pstrigosa_485	comp50289_c0_seq3
Pstrigosa_486	comp51609_c0_seq1
Pstrigosa_487	comp51015_c0_seq1
Pstrigosa_488	comp55682_c0_seq1
Pstrigosa_489	comp47980_c0_seq2
Pstrigosa_490	comp54828_c0_seq2
Pstrigosa_491	comp48220_c0_seq12
Pstrigosa_492	comp53510_c0_seq1
Pstrigosa_493	comp48715_c0_seq13
Pstrigosa_494	comp55938_c0_seq1
Pstrigosa_495	comp54426_c0_seq1
Pstrigosa_496	comp51933_c0_seq1
Pstrigosa_497	comp55841_c0_seq8
Pstrigosa_498	comp56178_c0_seq5
Pstrigosa_499	comp57613_c0_seq1
Pstrigosa_500	comp53154_c0_seq2
Pstrigosa_501	comp51350_c0_seq1
Pstrigosa_502	comp52321_c0_seq2
Pstrigosa_503	comp52160_c1_seq3
Pstrigosa_504	comp51874_c0_seq1
Pstrigosa_505	comp52546_c0_seq1
Pstrigosa_506	comp56690_c0_seq7
Pstrigosa_507	comp51958_c0_seq1
Pstrigosa_508	comp47459_c0_seq1
Pstrigosa_509	comp47673_c0_seq1
Pstrigosa_510	comp49160_c0_seq1
Pstrigosa_511	comp48356_c0_seq3
Pstrigosa_512	comp51361_c0_seq1
Pstrigosa_513	comp47221_c0_seq11
Pstrigosa_514	comp52737_c0_seq11
Pstrigosa_515	comp53069_c0_seq1
Pstrigosa_516	comp58251_c0_seq1
Pstrigosa_517	comp49186_c0_seq2
Pstrigosa_518	comp53350_c0_seq1
Pstrigosa_519	comp49451_c0_seq2
Pstrigosa_520	comp47597_c0_seq1
Pstrigosa_521	comp56848_c0_seq1
Pstrigosa_522	comp46678_c0_seq5
Pstrigosa_523	comp50764_c0_seq8
Pstrigosa_524	comp57148_c0_seq1
Pstrigosa_525	comp56525_c0_seq2
Pstrigosa_526	comp58416_c0_seq1
Pstrigosa_527	comp52274_c0_seq1
Pstrigosa_528	comp55841_c0_seq9
Pstrigosa_529	comp50730_c0_seq1
Pstrigosa_530	comp51253_c0_seq3
Pstrigosa_531	comp52486_c0_seq1
Pstrigosa_532	comp46888_c0_seq1
Pstrigosa_533	comp52737_c0_seq8
Pstrigosa_534	comp48504_c0_seq1
Pstrigosa_535	comp47359_c0_seq1
Pstrigosa_536	comp49661_c0_seq1
Pstrigosa_537	comp52735_c0_seq6
Pstrigosa_538	comp46332_c1_seq2
Pstrigosa_539	comp57936_c0_seq5
Pstrigosa_540	comp56362_c0_seq2
Pstrigosa_541	comp57064_c0_seq1
Pstrigosa_542	comp55664_c0_seq1
Pstrigosa_543	comp48680_c0_seq1
Pstrigosa_544	comp58491_c0_seq1
Pstrigosa_545	comp46332_c2_seq13
Pstrigosa_546	comp51356_c0_seq1
Pstrigosa_547	comp56188_c0_seq4
Pstrigosa_548	comp57870_c0_seq2
Pstrigosa_549	comp49554_c0_seq3
Pstrigosa_550	comp52851_c0_seq1
Pstrigosa_551	comp50595_c1_seq2
Pstrigosa_552	comp54055_c0_seq1
Pstrigosa_553	comp54029_c0_seq6
Pstrigosa_554	comp55456_c0_seq1
Pstrigosa_555	comp53139_c0_seq1
Pstrigosa_556	comp45994_c1_seq11
Pstrigosa_557	comp57971_c0_seq2
Pstrigosa_558	comp46454_c0_seq1
Pstrigosa_559	comp53050_c0_seq3
Pstrigosa_560	comp52596_c1_seq3
Pstrigosa_561	comp56065_c0_seq2
Pstrigosa_562	comp46059_c0_seq3
Pstrigosa_563	comp56643_c0_seq1
Pstrigosa_564	comp46624_c0_seq2
Pstrigosa_565	comp52947_c0_seq1
Pstrigosa_566	comp53282_c0_seq1
Pstrigosa_567	comp54772_c0_seq1
Pstrigosa_568	comp54552_c0_seq2
Pstrigosa_569	comp47495_c0_seq3
Pstrigosa_570	comp51561_c0_seq9
Pstrigosa_571	comp47884_c0_seq1
Pstrigosa_572	comp50858_c0_seq3
Pstrigosa_573	comp56531_c0_seq1
Pstrigosa_574	comp54336_c0_seq3
Pstrigosa_575	comp49785_c0_seq1
Pstrigosa_576	comp57581_c0_seq1
Pstrigosa_577	comp48220_c0_seq9
Pstrigosa_578	comp51497_c0_seq2
Pstrigosa_579	comp48714_c0_seq1
Pstrigosa_580	comp46059_c0_seq1
Pstrigosa_581	comp56152_c0_seq1
Pstrigosa_582	comp47089_c0_seq5
Pstrigosa_583	comp55144_c0_seq2
Pstrigosa_584	comp55159_c0_seq2
Pstrigosa_585	comp48129_c0_seq7
Pstrigosa_586	comp53226_c0_seq1
