Plobata_415	c4713_g1_i1
Plobata_416	c4505_g1_i1
Plobata_417	c5070_g1_i1
Plobata_418	c5208_g1_i1
Plobata_419	c4632_g1_i1
Plobata_420	c4749_g1_i1
Plobata_421	c4387_g1_i1
Plobata_422	c4243_g1_i1
Plobata_423	c4259_g1_i1
Plobata_424	c5036_g2_i1
Plobata_425	c4313_g1_i1
Plobata_426	c4584_g1_i1
Plobata_427	c4347_g1_i1
Plobata_428	c4843_g1_i1
Plobata_429	c5028_g1_i1
Plobata_430	c4452_g1_i1
Plobata_431	c4675_g1_i1
Plobata_432	c4675_g1_i2
Plobata_433	c4693_g1_i1
Plobata_434	c4460_g1_i1
Plobata_435	c5144_g1_i1
Plobata_436	c5099_g1_i1
Plobata_437	c5170_g1_i1
Plobata_438	c5170_g1_i2
Plobata_439	c5149_g1_i2
Plobata_440	c4487_g1_i1
Plobata_441	c5059_g1_i1
Plobata_442	c4427_g1_i1
Plobata_443	c4895_g1_i1
Plobata_444	c5002_g1_i1
Plobata_445	c4831_g1_i1
Plobata_446	c4198_g1_i2
Plobata_447	c5155_g1_i1
Plobata_448	c5155_g1_i2
Plobata_449	c4411_g1_i1
Plobata_450	c4526_g1_i1
Plobata_451	c4572_g1_i1
Plobata_452	c4946_g2_i1
Plobata_453	c5069_g1_i1
Plobata_454	c5047_g1_i1
Plobata_455	c4953_g1_i1
Plobata_456	c5110_g1_i1
Plobata_457	c4985_g1_i1
Plobata_458	c4985_g1_i2
Plobata_459	c4922_g1_i1
Plobata_460	c4967_g1_i1
Plobata_461	c5108_g1_i1
Plobata_462	c4353_g1_i1
Plobata_463	c5159_g1_i1
Plobata_464	c5227_g2_i1
Plobata_465	c5240_g1_i1
Plobata_466	c4655_g1_i1
Plobata_467	c4974_g2_i1
Plobata_468	c4639_g1_i1
Plobata_469	c4700_g1_i1
Plobata_470	c4700_g1_i2
Plobata_471	c5024_g1_i1
Plobata_472	c4580_g1_i1
Plobata_473	c4930_g1_i1
Plobata_474	c4439_g1_i1
Plobata_475	c58308_g1_i1
Plobata_476	c58402_g1_i1
Plobata_477	c59084_g1_i1
Plobata_478	c59084_g1_i2
Plobata_479	c59084_g1_i3
Plobata_480	c58190_g1_i1
Plobata_481	c59083_g1_i1
Plobata_482	c59083_g1_i2
Plobata_483	c58746_g1_i1
Plobata_484	c58746_g1_i2
Plobata_485	c58746_g2_i1
Plobata_486	c58640_g3_i1
Plobata_487	c58640_g4_i1
Plobata_488	c58640_g5_i2
Plobata_489	c58640_g7_i1
Plobata_490	c58108_g4_i1
Plobata_491	c58108_g5_i1
Plobata_492	c58525_g3_i1
Plobata_493	c59047_g5_i1
Plobata_494	c59047_g5_i2
Plobata_495	c59047_g5_i3
Plobata_496	c58823_g1_i1
Plobata_497	c58823_g1_i2
Plobata_498	c58096_g1_i1
Plobata_499	c58096_g2_i1
Plobata_500	c58096_g4_i1
Plobata_501	c58096_g3_i2
Plobata_502	c58096_g4_i3
Plobata_503	c58096_g2_i2
Plobata_504	c58096_g1_i2
Plobata_505	c58173_g1_i1
Plobata_506	c58365_g1_i1
Plobata_507	c58365_g1_i2
Plobata_508	c58203_g1_i1
Plobata_509	c58581_g2_i3
Plobata_510	c58581_g2_i4
Plobata_511	c58787_g2_i1
Plobata_512	c58787_g3_i1
Plobata_513	c58787_g1_i2
Plobata_514	c58787_g1_i3
Plobata_515	c59014_g1_i1
Plobata_516	c59014_g1_i2
Plobata_517	c59014_g1_i3
Plobata_518	c58253_g1_i1
Plobata_519	c58253_g1_i2
Plobata_520	c58253_g1_i3
Plobata_521	c58253_g2_i1
Plobata_522	c58253_g1_i4
Plobata_523	c58253_g2_i2
Plobata_524	c58910_g1_i1
Plobata_525	c58910_g1_i2
Plobata_526	c58315_g4_i2
Plobata_527	c58315_g4_i3
Plobata_528	c58332_g1_i2
Plobata_529	c58332_g1_i3
Plobata_530	c58332_g1_i4
Plobata_531	c58307_g1_i1
Plobata_532	c58322_g1_i1
Plobata_533	c58697_g4_i1
Plobata_534	c58697_g5_i1
Plobata_535	c58697_g5_i2
Plobata_536	c58697_g4_i6
Plobata_537	c58697_g5_i3
Plobata_538	c58697_g5_i4
Plobata_539	c58356_g4_i1
Plobata_540	c58812_g1_i1
Plobata_541	c58812_g1_i2
Plobata_542	c58467_g1_i1
Plobata_543	c58467_g1_i2
Plobata_544	c58467_g1_i3
Plobata_545	c58481_g1_i1
Plobata_546	c58099_g1_i1
Plobata_547	c58484_g1_i1
Plobata_548	c58484_g1_i2
Plobata_549	c58484_g1_i3
Plobata_550	c58484_g1_i4
Plobata_551	c58484_g1_i6
Plobata_552	c58414_g1_i1
Plobata_553	c58414_g2_i1
Plobata_554	c59032_g1_i1
Plobata_555	c58358_g2_i1
Plobata_556	c58358_g2_i2
Plobata_557	c58358_g2_i3
Plobata_558	c58750_g1_i1
Plobata_559	c58710_g1_i1
Plobata_560	c58710_g3_i1
Plobata_561	c58710_g2_i2
Plobata_562	c58710_g5_i1
Plobata_563	c58710_g4_i3
Plobata_564	c58710_g5_i2
Plobata_565	c58710_g2_i3
Plobata_566	c58710_g5_i3
Plobata_567	c58440_g1_i1
Plobata_568	c58440_g2_i1
Plobata_569	c58429_g1_i1
Plobata_570	c58810_g1_i1
Plobata_571	c58810_g2_i1
Plobata_572	c58810_g2_i2
Plobata_573	c58810_g2_i3
Plobata_574	c58810_g3_i1
Plobata_575	c58810_g2_i4
Plobata_576	c58810_g2_i7
Plobata_577	c58744_g1_i1
Plobata_578	c58833_g1_i2
Plobata_579	c58512_g1_i1
Plobata_580	c58342_g1_i1
Plobata_581	c58342_g1_i2
Plobata_582	c58732_g1_i1
Plobata_583	c58732_g1_i3
Plobata_584	c58732_g1_i4
Plobata_585	c58732_g1_i6
Plobata_586	c58732_g1_i8
Plobata_587	c58732_g1_i10
Plobata_588	c58732_g2_i1
Plobata_589	c58272_g1_i1
Plobata_590	c58272_g3_i1
Plobata_591	c58873_g1_i1
Plobata_592	c58781_g1_i1
Plobata_593	c58781_g1_i2
Plobata_594	c58845_g1_i1
Plobata_595	c58845_g2_i1
Plobata_596	c58845_g3_i1
Plobata_597	c58845_g3_i2
Plobata_598	c58845_g2_i3
Plobata_599	c58845_g5_i1
Plobata_600	c58845_g3_i4
Plobata_601	c58845_g4_i4
Plobata_602	c58845_g6_i1
Plobata_603	c58845_g5_i2
Plobata_604	c58845_g2_i4
Plobata_605	c58845_g4_i5
Plobata_606	c58845_g5_i3
Plobata_607	c58845_g2_i5
Plobata_608	c58845_g7_i1
Plobata_609	c58609_g1_i1
Plobata_610	c58609_g1_i2
Plobata_611	c58609_g1_i3
Plobata_612	c58609_g1_i4
Plobata_613	c58505_g1_i1
Plobata_614	c58145_g2_i1
Plobata_615	c58558_g2_i1
Plobata_616	c58558_g3_i1
Plobata_617	c58558_g2_i3
Plobata_618	c58558_g1_i3
Plobata_619	c58698_g1_i1
Plobata_620	c59078_g1_i2
Plobata_621	c59078_g1_i4
Plobata_622	c58939_g1_i2
Plobata_623	c58939_g1_i3
Plobata_624	c58939_g1_i4
Plobata_625	c58939_g1_i5
Plobata_626	c58939_g1_i6
Plobata_627	c58939_g2_i1
Plobata_628	c58862_g1_i4
Plobata_629	c58247_g1_i1
Plobata_630	c58247_g2_i1
Plobata_631	c58247_g3_i1
Plobata_632	c58247_g4_i1
Plobata_633	c58247_g2_i2
Plobata_634	c58247_g3_i2
Plobata_635	c58681_g1_i1
Plobata_636	c58729_g1_i1
Plobata_637	c58729_g1_i2
Plobata_638	c58355_g1_i1
Plobata_639	c58355_g2_i1
Plobata_640	c58472_g1_i1
Plobata_641	c58472_g1_i2
Plobata_642	c58265_g1_i1
Plobata_643	c58265_g1_i2
Plobata_644	c58853_g1_i1
Plobata_645	c58853_g2_i2
Plobata_646	c58853_g2_i3
Plobata_647	c58855_g1_i1
Plobata_648	c58855_g2_i1
