Maequitube_526	c84546_g3_i3
Maequitube_527	c84546_g3_i4
Maequitube_528	c84933_g2_i1
Maequitube_529	c84933_g2_i2
Maequitube_530	c85045_g2_i1
Maequitube_531	c85317_g3_i1
Maequitube_532	c85317_g3_i2
Maequitube_533	c85317_g3_i3
Maequitube_534	c85317_g3_i6
Maequitube_535	c85317_g3_i7
Maequitube_536	c85317_g3_i8
Maequitube_537	c85317_g3_i9
Maequitube_538	c85317_g3_i10
Maequitube_539	c85477_g3_i1
Maequitube_540	c85477_g2_i3
Maequitube_541	c85477_g2_i4
Maequitube_542	c85477_g3_i2
Maequitube_543	c85477_g2_i5
Maequitube_544	c85477_g2_i7
Maequitube_545	c85367_g1_i2
Maequitube_546	c85367_g1_i4
Maequitube_547	c84816_g1_i1
Maequitube_548	c84816_g1_i2
Maequitube_549	c84816_g1_i3
Maequitube_550	c84816_g1_i5
Maequitube_551	c85262_g1_i2
Maequitube_552	c85262_g1_i4
Maequitube_553	c85469_g1_i1
Maequitube_554	c85469_g2_i1
Maequitube_555	c85469_g2_i2
Maequitube_556	c85469_g2_i5
Maequitube_557	c85469_g2_i6
Maequitube_558	c85471_g2_i2
Maequitube_559	c85471_g2_i3
Maequitube_560	c85471_g2_i4
Maequitube_561	c84892_g2_i1
Maequitube_562	c84892_g2_i2
Maequitube_563	c84892_g2_i3
Maequitube_564	c84892_g2_i4
Maequitube_565	c84892_g2_i6
Maequitube_566	c85071_g1_i1
Maequitube_567	c85071_g2_i2
Maequitube_568	c85071_g3_i2
Maequitube_569	c85071_g2_i3
Maequitube_570	c85071_g2_i4
Maequitube_571	c85071_g2_i5
Maequitube_572	c85071_g3_i3
Maequitube_573	c85071_g3_i4
Maequitube_574	c85071_g3_i5
Maequitube_575	c84715_g1_i2
Maequitube_576	c84715_g1_i3
Maequitube_577	c84905_g2_i1
Maequitube_578	c84905_g2_i2
Maequitube_579	c84905_g2_i3
Maequitube_580	c84905_g2_i4
Maequitube_581	c84905_g2_i5
Maequitube_582	c84905_g1_i2
Maequitube_583	c85267_g1_i2
Maequitube_584	c85267_g1_i3
Maequitube_585	c85267_g1_i5
Maequitube_586	c85267_g1_i6
Maequitube_587	c85267_g1_i7
Maequitube_588	c84850_g2_i4
Maequitube_589	c85224_g2_i2
Maequitube_590	c85224_g2_i6
Maequitube_591	c85224_g2_i7
Maequitube_592	c84764_g1_i2
Maequitube_593	c84764_g1_i5
Maequitube_594	c84764_g1_i6
Maequitube_595	c84764_g1_i7
Maequitube_596	c84764_g1_i8
Maequitube_597	c85129_g1_i1
Maequitube_598	c85129_g1_i2
Maequitube_599	c85129_g1_i3
Maequitube_600	c85309_g1_i1
Maequitube_601	c85322_g3_i1
Maequitube_602	c85322_g4_i1
Maequitube_603	c85322_g4_i2
Maequitube_604	c85322_g4_i3
Maequitube_605	c85322_g5_i4
Maequitube_606	c85322_g4_i4
Maequitube_607	c85322_g3_i3
Maequitube_608	c85322_g4_i5
Maequitube_609	c85353_g1_i1
Maequitube_610	c85099_g3_i1
Maequitube_611	c84755_g1_i1
Maequitube_612	c84755_g1_i2
Maequitube_613	c84755_g1_i3
Maequitube_614	c85326_g2_i1
Maequitube_615	c85326_g3_i1
Maequitube_616	c85326_g3_i2
Maequitube_617	c85326_g3_i3
Maequitube_618	c85326_g3_i4
