Gastreata_677	c79949_g1_i9
Gastreata_678	c79949_g1_i12
Gastreata_679	c79598_g1_i1
Gastreata_680	c79598_g1_i2
Gastreata_681	c80354_g1_i1
Gastreata_682	c80354_g2_i2
Gastreata_683	c80354_g1_i2
Gastreata_684	c80354_g1_i4
Gastreata_685	c80354_g2_i4
Gastreata_686	c80354_g1_i5
Gastreata_687	c80354_g1_i6
Gastreata_688	c80354_g5_i1
Gastreata_689	c80354_g1_i7
Gastreata_690	c79482_g1_i2
Gastreata_691	c79482_g1_i5
Gastreata_692	c79482_g1_i7
Gastreata_693	c79667_g1_i1
Gastreata_694	c79545_g1_i1
Gastreata_695	c79545_g1_i2
Gastreata_696	c79545_g1_i3
Gastreata_697	c79545_g1_i4
Gastreata_698	c79545_g1_i7
Gastreata_699	c79545_g3_i2
Gastreata_700	c79545_g3_i3
Gastreata_701	c79545_g3_i4
Gastreata_702	c79545_g3_i6
Gastreata_703	c79905_g1_i2
Gastreata_704	c79905_g1_i4
Gastreata_705	c80210_g1_i1
Gastreata_706	c80210_g1_i3
Gastreata_707	c80210_g2_i1
Gastreata_708	c80210_g1_i4
Gastreata_709	c80210_g2_i2
Gastreata_710	c80210_g2_i3
Gastreata_711	c80210_g1_i6
Gastreata_712	c80210_g1_i7
Gastreata_713	c80210_g1_i8
Gastreata_714	c80210_g1_i9
Gastreata_715	c80210_g2_i4
Gastreata_716	c80210_g1_i10
Gastreata_717	c80210_g1_i11
Gastreata_718	c80210_g2_i6
Gastreata_719	c80434_g1_i1
Gastreata_720	c80434_g1_i2
Gastreata_721	c80434_g1_i3
Gastreata_722	c80434_g1_i4
Gastreata_723	c80434_g1_i5
Gastreata_724	c80434_g1_i6
Gastreata_725	c79995_g1_i7
Gastreata_726	c80051_g1_i1
Gastreata_727	c80051_g1_i2
Gastreata_728	c79663_g1_i1
Gastreata_729	c79948_g1_i3
Gastreata_730	c79948_g1_i5
Gastreata_731	c79948_g1_i6
Gastreata_732	c79948_g8_i1
Gastreata_733	c80367_g3_i1
Gastreata_734	c80367_g3_i3
Gastreata_735	c80367_g3_i5
Gastreata_736	c80367_g3_i6
Gastreata_737	c80367_g3_i7
Gastreata_738	c80367_g3_i10
Gastreata_739	c80367_g4_i1
Gastreata_740	c80367_g3_i11
Gastreata_741	c80367_g3_i12
Gastreata_742	c80367_g3_i13
Gastreata_743	c80367_g3_i14
Gastreata_744	c79925_g1_i3
Gastreata_745	c79925_g1_i5
Gastreata_746	c80190_g1_i1
Gastreata_747	c80190_g1_i2
Gastreata_748	c79922_g1_i1
Gastreata_749	c79922_g2_i1
Gastreata_750	c79922_g2_i2
